Sector,Year,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
PUBLIC,2018 - 2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,385,510,610,893,410,583,2887,4242,0,0,2601,2751,9,13,45,54,331,462,360,609,294,445,2208,3325,0,0,1960,2329,23,18,24,41
PUBLIC,2018 - 2019,CAR - Cordillera Administrative Region,290,724,1458,1818,598,722,1079,1260,0,0,2900,2243,29,23,24,20,251,627,725,1076,438,603,1168,1498,0,0,2316,2164,24,15,22,34
PUBLIC,2018 - 2019,NCR - National Capital Region,2460,4875,2409,3465,3265,2973,3478,3268,0,0,11819,7769,164,53,278,335,2159,4402,1610,2632,2628,2401,3173,3030,0,0,9687,6872,102,46,192,288
PUBLIC,2019 - 2020,Region I - Ilocos Region,1298,3817,6076,6782,3099,3600,6392,6175,0,0,15419,11222,0,0,136,107,1107,3451,4008,5038,2603,2727,6957,6868,0,0,13240,10365,0,0,99,75
PUBLIC,2019 - 2020,Region II - Cagayan Valley,832,2055,4841,5372,2090,2650,4356,4481,0,0,7701,5796,143,98,85,84,800,2317,3267,3717,1874,1963,4327,4877,0,0,6846,5518,70,44,71,71
PUBLIC,2019 - 2020,Region III - Central Luzon,3075,7265,8219,10645,4784,4508,8831,8350,65,9,21808,14774,77,44,83,86,2936,6674,4911,7007,3685,3250,8994,8682,75,7,19427,13793,124,62,52,63
PUBLIC,2019 - 2020,Region IV-A - CALABARZON,4195,9425,12195,14674,4531,4281,4200,4666,66,12,22651,14912,187,69,254,258,3670,8569,8000,10181,3561,3415,5227,5666,44,4,20660,14522,134,55,191,220
PUBLIC,2019 - 2020,Region IV-B - MIMAROPA,773,1801,3772,4554,1512,1641,4733,5930,0,0,8090,6303,117,66,134,118,645,1696,2105,2737,1244,1307,4805,5788,0,0,6483,5738,72,52,87,97
PUBLIC,2019 - 2020,Region V - Bicol Region,1174,3310,2760,4279,1974,2358,13555,18341,29,8,19319,14715,113,59,232,308,1259,3275,1828,3179,1718,1939,12088,17059,33,7,17345,13781,80,41,226,271
PUBLIC,2019 - 2020,Region VI - Western Visayas,1673,5040,10299,14679,2684,3613,6544,6798,0,0,25990,18641,114,52,98,133,1403,4832,7002,10638,2346,2710,6582,6616,0,0,21490,16196,55,66,91,136
PUBLIC,2019 - 2020,Region VII - Central Visayas,1291,3502,4960,7942,1928,2400,10836,12482,14,1,20699,15373,88,64,162,161,1085,3070,3536,5996,1651,1954,9160,10879,26,5,17685,13731,76,55,80,117
PUBLIC,2019 - 2020,Region VIII - Eastern Visayas,1068,2576,5965,8073,1448,1614,7654,9276,0,0,15144,11819,49,48,35,63,1028,2196,4180,6282,1313,1177,6989,8559,0,0,13109,10525,64,50,16,21
